Date,Metric,App,Category,Platform,Value
9/7/14,Revenue,Crappy Birds,Games,Android,360
9/8/14,Revenue,Crappy Birds,Games,Android,360
9/7/14,Revenue,Crappy Birds,Games,iOS,380
9/8/14,Revenue,Crappy Birds,Games,iOS,380
9/1/14,Revenue,Crappy Birds,Games,Android,400
9/1/14,Revenue,Crappy Birds,Games,iOS,420
9/5/14,Revenue,Crappy Birds,Games,iOS,420
9/5/14,Revenue,Crappy Birds,Games,Android,420
9/3/14,Revenue,Crappy Birds,Games,Android,430
9/6/14,Revenue,Crappy Birds,Games,iOS,430
9/6/14,Revenue,Crappy Birds,Games,Android,430
9/9/14,Revenue,Crappy Birds,Games,iOS,430
9/9/14,Revenue,Crappy Birds,Games,Android,430
9/2/14,Revenue,Crappy Birds,Games,Android,440
8/28/14,Revenue,Crappy Birds,Games,Android,450
9/2/14,Revenue,Crappy Birds,Games,iOS,450
9/3/14,Revenue,Crappy Birds,Games,iOS,450
9/4/14,Revenue,Crappy Birds,Games,Android,450
8/28/14,Revenue,Crappy Birds,Games,iOS,460
8/31/14,Revenue,Crappy Birds,Games,iOS,460
8/31/14,Revenue,Crappy Birds,Games,Android,460
9/4/14,Revenue,Crappy Birds,Games,iOS,460
9/10/14,Revenue,Crappy Birds,Games,iOS,460
8/30/14,Revenue,Crappy Birds,Games,Android,470
9/10/14,Revenue,Crappy Birds,Games,Android,470
7/23/14,Revenue,Crappy Birds,Games,Android,480
8/27/14,Revenue,Crappy Birds,Games,Android,480
8/29/14,Revenue,Crappy Birds,Games,iOS,480
8/29/14,Revenue,Crappy Birds,Games,Android,480
8/30/14,Revenue,Crappy Birds,Games,iOS,480
7/23/14,Revenue,Crappy Birds,Games,iOS,490
7/22/14,Revenue,Crappy Birds,Games,Android,500
7/24/14,Revenue,Crappy Birds,Games,iOS,500
8/27/14,Revenue,Crappy Birds,Games,iOS,500
7/12/14,Revenue,Crappy Birds,Games,Android,510
7/13/14,Revenue,Crappy Birds,Games,Android,510
7/21/14,Revenue,Crappy Birds,Games,Android,510
7/22/14,Revenue,Crappy Birds,Games,iOS,510
7/11/14,Revenue,Crappy Birds,Games,iOS,520
7/12/14,Revenue,Crappy Birds,Games,iOS,520
7/13/14,Revenue,Crappy Birds,Games,iOS,520
7/25/14,Revenue,Crappy Birds,Games,Android,520
8/26/14,Revenue,Crappy Birds,Games,iOS,520
7/11/14,Revenue,Crappy Birds,Games,Android,530
7/18/14,Revenue,Crappy Birds,Games,Android,530
7/21/14,Revenue,Crappy Birds,Games,iOS,530
7/24/14,Revenue,Crappy Birds,Games,Android,530
7/25/14,Revenue,Crappy Birds,Games,iOS,530
7/10/14,Revenue,Crappy Birds,Games,Android,540
7/18/14,Revenue,Crappy Birds,Games,iOS,540
7/26/14,Revenue,Crappy Birds,Games,Android,540
